5	0.1
yennp	a	1
yhere	n	1
yor r	e	1
yyher	e	1
za en	 	1
za pa	r	1
zaci√	≥	1
zado 	p	1
zomas	.	1
zona 	l	1	n	1
zonas	 	1
ÉiÀàm	i	1
Éot É	i	1
àmilk	o	1
°ceas	 	2
°nica	.	1
°sico	 	1	,	1
©nero	s	2
©palo	s	1
©petl	 	1
©poca	 	1
©tico	 	1
©xico	,	2	.	2
≠fico	 	1
≠gena	,	1
≠gene	s	1
≠odo 	P	1
±as d	e	1
±os d	e	1
≥ en 	p	1
≥metr	o	1
≥mica	 	1
≥n de	 	1	s	1
≥n re	a	1
≥n. E	n	1
≥n. F	i	1
∫pero	.	1
√°cea	s	2
√°nic	a	1
√°sic	o	2
√©ner	o	2
√©pal	o	1
√©pet	l	1
√©poc	a	1
√©tic	o	1
√©xic	o	4
√≠fic	o	1
√≠gen	a	1	e	1
√≠odo	 	1
√±as 	d	1
√±os 	d	1
√≥ en	 	1
√≥met	r	1
√≥mic	a	1
√≥n d	e	2
√≥n r	e	1
√≥n. 	E	1	F	1
√∫per	o	1
 ÉiÀà	m	1
 Éot 	É	1
Ààmil	k	1
